run_name,dataset,detector,augmentation,label_fraction,heldout_typology,detector_hardness,detector_hardness,detector_hardness,ledger_violation_rate,ledger_violation_rate,ledger_violation_rate,mean_flow_residual,mean_flow_residual,mean_flow_residual,profile_drift,profile_drift,profile_drift,acceptance_rate,acceptance_rate,acceptance_rate,categorical_fractionality_rate,categorical_fractionality_rate,categorical_fractionality_rate,negative_feature_rate,negative_feature_rate,negative_feature_rate
,,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
cikm_v2_heldout_integration,amlnet,lightgbm,adv_no_projection_v2,1.0,integration,3.420066286308207,0.043961993790555674,3,0.9726177437020808,0.0028978656200050914,3,0.46178392694972903,0.012164221285255667,3,0.623404302043702,0.025296872650748276,3,0.027382256297918333,0.002897865620005102,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,lightgbm,boundary_projected_v2,1.0,integration,10.142943745704258,0.09559839122507718,3,0.0,0.0,3,0.0,0.0,3,0.5792877664694374,0.02697957009019043,3,0.949616648411829,0.0,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,lightgbm,hard_projected_v2,1.0,integration,10.171529540473818,0.07263766369331133,3,0.0,0.0,3,0.0,0.0,3,0.58037501024337,0.02730577099670565,3,0.949616648411829,0.0,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,lightgbm,none,1.0,integration,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_integration,amlnet,pyg_sage,adv_no_projection_v2,1.0,integration,3.420066286308207,0.043961993790555674,3,0.9726177437020808,0.0028978656200050914,3,0.46178392694972903,0.012164221285255667,3,0.623404302043702,0.025296872650748276,3,0.027382256297918333,0.002897865620005102,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,pyg_sage,boundary_projected_v2,1.0,integration,10.142943745704258,0.09559839122507718,3,0.0,0.0,3,0.0,0.0,3,0.5792877664694374,0.02697957009019043,3,0.949616648411829,0.0,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,pyg_sage,hard_projected_v2,1.0,integration,10.171529540473818,0.07263766369331133,3,0.0,0.0,3,0.0,0.0,3,0.58037501024337,0.02730577099670565,3,0.949616648411829,0.0,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,pyg_sage,none,1.0,integration,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_integration,amlnet,xgboost,adv_no_projection_v2,1.0,integration,4.29976611667307,0.36026811795719116,3,0.9667761956918577,0.010638044749422327,3,0.45161487964084635,0.0010948392616894874,3,0.5068285236469917,0.00966392101636576,3,0.033223804308141335,0.0106380447494223,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,xgboost,boundary_projected_v2,1.0,integration,9.046160729721663,0.07053306453500774,3,0.0,0.0,3,0.0,0.0,3,0.4095045528838083,0.029570283689302427,3,0.949616648411829,0.0,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,xgboost,hard_projected_v2,1.0,integration,9.066106975652623,0.0647901102039084,3,0.0,0.0,3,0.0,0.0,3,0.41380002536730504,0.029319365891000055,3,0.949616648411829,0.0,3,,,0,,,0
cikm_v2_heldout_integration,amlnet,xgboost,none,1.0,integration,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_layering,amlnet,lightgbm,adv_no_projection_v2,1.0,layering,4.615149798124845,0.07946915426971904,3,0.9606060606060605,0.006943296507509015,3,0.4873978902684653,0.01804208873591573,3,1.1763142954913013,0.11453332928654533,3,0.03939393939393867,0.006943296507508996,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,lightgbm,boundary_projected_v2,1.0,layering,10.842665088038643,0.2194295049903707,3,0.0,0.0,3,0.0,0.0,3,1.3112997410440659,0.07745411729503814,3,0.9499999999999998,0.0,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,lightgbm,hard_projected_v2,1.0,layering,10.971078973037029,0.19369689436532656,3,0.0,0.0,3,0.0,0.0,3,1.30772992678079,0.07127907404202721,3,0.9499999999999998,0.0,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,lightgbm,none,1.0,layering,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_layering,amlnet,pyg_sage,adv_no_projection_v2,1.0,layering,4.615149798124845,0.07946915426971904,3,0.9606060606060605,0.006943296507509015,3,0.4873978902684653,0.01804208873591573,3,1.1763142954913013,0.11453332928654533,3,0.03939393939393867,0.006943296507508996,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,pyg_sage,boundary_projected_v2,1.0,layering,10.842665088038643,0.2194295049903707,3,0.0,0.0,3,0.0,0.0,3,1.3112997410440659,0.07745411729503814,3,0.9499999999999998,0.0,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,pyg_sage,hard_projected_v2,1.0,layering,10.971078973037029,0.19369689436532656,3,0.0,0.0,3,0.0,0.0,3,1.30772992678079,0.07127907404202721,3,0.9499999999999998,0.0,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,pyg_sage,none,1.0,layering,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_layering,amlnet,xgboost,adv_no_projection_v2,1.0,layering,3.725199427039437,0.1696344176667947,3,0.9757575757575753,0.01837023583785183,3,0.488576648060268,0.023094174810680962,3,1.2670953476163664,0.04949772512565141,3,0.024242424242423666,0.01837023583785183,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,xgboost,boundary_projected_v2,1.0,layering,8.109581720489468,0.11223014861828293,3,0.0,0.0,3,0.0,0.0,3,1.4756706533239947,0.029252820122957778,3,0.9499999999999998,0.0,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,xgboost,hard_projected_v2,1.0,layering,8.167584277275713,0.09100967103999037,3,0.0,0.0,3,0.0,0.0,3,1.446926570462565,0.027767613765882035,3,0.9499999999999998,0.0,3,,,0,,,0
cikm_v2_heldout_layering,amlnet,xgboost,none,1.0,layering,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_structuring,amlnet,lightgbm,adv_no_projection_v2,1.0,structuring,3.7353126839906197,0.35258834822082846,3,0.966534566270365,0.004035733769225638,3,0.45715543466117264,0.005813344601638676,3,0.5303150673282527,0.01830032118797283,3,0.033465433729634,0.004035733769225651,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,lightgbm,boundary_projected_v2,1.0,structuring,10.674232366221233,0.28584792114169977,3,0.0,0.0,3,0.0,0.0,3,0.452549688674762,0.08638311388475355,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,lightgbm,hard_projected_v2,1.0,structuring,10.698234126693412,0.3139914152919975,3,0.0,0.0,3,0.0,0.0,3,0.45728243413344033,0.0862321871072963,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,lightgbm,none,1.0,structuring,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,adv_no_projection_v2,1.0,structuring,3.7353126839906197,0.35258834822082846,3,0.966534566270365,0.004035733769225638,3,0.45715543466117264,0.005813344601638676,3,0.5303150673282527,0.01830032118797283,3,0.033465433729634,0.004035733769225651,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,boundary_projected_v2,1.0,structuring,10.674232366221233,0.28584792114169977,3,0.0,0.0,3,0.0,0.0,3,0.452549688674762,0.08638311388475355,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,hard_projected_v2,1.0,structuring,10.698234126693412,0.3139914152919975,3,0.0,0.0,3,0.0,0.0,3,0.45728243413344033,0.0862321871072963,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,pyg_sage,none,1.0,structuring,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,adv_no_projection_v2,1.0,structuring,4.410516549933357,0.08449479893880808,3,0.9674152355790393,0.0007626819936455673,3,0.4440220886621553,0.004938528721518415,3,0.5315234620373374,0.009036817722179988,3,0.032584764420959665,0.0007626819936455383,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,boundary_projected_v2,1.0,structuring,9.260112715319602,0.11244421597134069,3,0.0,0.0,3,0.0,0.0,3,0.4089340347494907,0.011463378320912624,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,hard_projected_v2,1.0,structuring,9.27257250478423,0.11265913694709548,3,0.0,0.0,3,0.0,0.0,3,0.41506534522210137,0.009439669489671032,3,0.949801849405548,0.0,3,,,0,,,0
cikm_v2_heldout_structuring,amlnet,xgboost,none,1.0,structuring,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v3_heldout_integration,amlnet,lightgbm,curriculum_projected_v2,1.0,integration,3.9936419955413065,0.05198228138133325,3,0.0,0.0,3,0.0,0.0,3,0.854194053279369,0.013676070681242625,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,hard_projected_v2,1.0,integration,8.608750031702334,0.14340396754413223,3,0.0,0.0,3,0.0,0.0,3,0.6639097090647764,0.025098708219811233,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,none,1.0,integration,,,0,,,0,,,0,,,0,,,0,,,0,,,0
cikm_v3_heldout_integration,amlnet,lightgbm,plausible_hard_projected_v2,1.0,integration,7.5937134721002835,0.15728451559014783,3,0.0,0.0,3,0.0,0.0,3,0.46597995639531065,0.01137688520459679,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
cikm_v3_heldout_integration,amlnet,lightgbm,plausible_typology_projected_v2,1.0,integration,7.946563573779559,0.04386128711588894,3,0.0,0.0,3,0.0,0.0,3,0.463505533427718,0.01625857567883952,3,0.948905109489051,0.0,3,0.0,0.0,3,0.0,0.0,3
