acceptance_rate,augmentation,dataset,detector,detector_hardness,generated,heldout_typology,label_fraction,ledger_violation_rate,mean_flow_residual,median_flow_residual,profile_drift,rho,seed,temporal_violation_rate
0.031746031746031,adv_no_projection,amlnet,xgboost,7.546205556244527e-08,945,,1,0.968253968253968,0.40369597041335603,0.396639908793439,2.071955222753036,1,2,0.02
0.949206349206349,random_feasible,amlnet,xgboost,6.528855374968152e-08,945,,1,0.0,0.0,0.0,2.123461694869438,1,0,0.0
0.949206349206349,random_feasible,amlnet,xgboost,6.619045188528e-08,945,,1,0.0,0.0,0.0,2.10336911487487,1,1,0.0
0.949206349206349,random_feasible,amlnet,xgboost,7.441118393345838e-08,945,,1,0.0,0.0,0.0,2.057826528920229,1,2,0.0
0.949206349206349,ours,amlnet,xgboost,6.782880771970058e-08,945,,1,0.0,0.0,0.0,2.161030207988391,1,0,0.0
0.949206349206349,ours,amlnet,xgboost,7.113717276546309e-08,945,,1,0.0,0.0,0.0,2.071644706471208,1,1,0.0
0.949206349206349,ours,amlnet,xgboost,7.546205556244527e-08,945,,1,0.0,0.0,0.0,2.064777922256317,1,2,0.0
,none,amlnet,topology_lr,,0,,1,,,,,1,0,
,none,amlnet,topology_lr,,0,,1,,,,,1,1,
,none,amlnet,topology_lr,,0,,1,,,,,1,2,
0.08042328042328001,random_graph,amlnet,topology_lr,6.528855374968152e-08,945,,1,0.919576719576719,0.23186415739663502,0.197684907023666,2.125973567008035,1,0,0.05
0.079365079365079,random_graph,amlnet,topology_lr,6.619045188528e-08,945,,1,0.92063492063492,0.24280221450001202,0.20761188127929803,2.107959146404066,1,1,0.05
0.071957671957671,random_graph,amlnet,topology_lr,7.441118393345838e-08,945,,1,0.9280423280423281,0.23639290073882102,0.208603575451169,2.057744939732427,1,2,0.05
0.045502645502645,adv_no_projection,amlnet,topology_lr,6.782880771970058e-08,945,,1,0.9544973544973541,0.392679968472878,0.37001949936980005,2.198473733407751,1,0,0.02
0.037037037037037,adv_no_projection,amlnet,topology_lr,7.113717276546309e-08,945,,1,0.962962962962962,0.40248935844238404,0.38182367469962303,2.120998065618256,1,1,0.02
0.031746031746031,adv_no_projection,amlnet,topology_lr,7.546205556244527e-08,945,,1,0.968253968253968,0.40369597041335603,0.396639908793439,2.071955222753036,1,2,0.02
0.949206349206349,random_feasible,amlnet,topology_lr,6.528855374968152e-08,945,,1,0.0,0.0,0.0,2.123461694869438,1,0,0.0
0.949206349206349,random_feasible,amlnet,topology_lr,6.619045188528e-08,945,,1,0.0,0.0,0.0,2.10336911487487,1,1,0.0
0.949206349206349,random_feasible,amlnet,topology_lr,7.441118393345838e-08,945,,1,0.0,0.0,0.0,2.057826528920229,1,2,0.0
0.949206349206349,ours,amlnet,topology_lr,6.782880771970058e-08,945,,1,0.0,0.0,0.0,2.161030207988391,1,0,0.0
0.949206349206349,ours,amlnet,topology_lr,7.113717276546309e-08,945,,1,0.0,0.0,0.0,2.071644706471208,1,1,0.0
0.949206349206349,ours,amlnet,topology_lr,7.546205556244527e-08,945,,1,0.0,0.0,0.0,2.064777922256317,1,2,0.0
,none,amlnet,graphsage_lite,,0,,1,,,,,1,0,
,none,amlnet,graphsage_lite,,0,,1,,,,,1,1,
,none,amlnet,graphsage_lite,,0,,1,,,,,1,2,
0.08042328042328001,random_graph,amlnet,graphsage_lite,6.528855374968152e-08,945,,1,0.919576719576719,0.23186415739663502,0.197684907023666,2.125973567008035,1,0,0.05
0.079365079365079,random_graph,amlnet,graphsage_lite,6.619045188528e-08,945,,1,0.92063492063492,0.24280221450001202,0.20761188127929803,2.107959146404066,1,1,0.05
0.071957671957671,random_graph,amlnet,graphsage_lite,7.441118393345838e-08,945,,1,0.9280423280423281,0.23639290073882102,0.208603575451169,2.057744939732427,1,2,0.05
0.045502645502645,adv_no_projection,amlnet,graphsage_lite,6.782880771970058e-08,945,,1,0.9544973544973541,0.392679968472878,0.37001949936980005,2.198473733407751,1,0,0.02
0.037037037037037,adv_no_projection,amlnet,graphsage_lite,7.113717276546309e-08,945,,1,0.962962962962962,0.40248935844238404,0.38182367469962303,2.120998065618256,1,1,0.02
0.031746031746031,adv_no_projection,amlnet,graphsage_lite,7.546205556244527e-08,945,,1,0.968253968253968,0.40369597041335603,0.396639908793439,2.071955222753036,1,2,0.02
0.949206349206349,random_feasible,amlnet,graphsage_lite,6.528855374968152e-08,945,,1,0.0,0.0,0.0,2.123461694869438,1,0,0.0
0.949206349206349,random_feasible,amlnet,graphsage_lite,6.619045188528e-08,945,,1,0.0,0.0,0.0,2.10336911487487,1,1,0.0
0.949206349206349,random_feasible,amlnet,graphsage_lite,7.441118393345838e-08,945,,1,0.0,0.0,0.0,2.057826528920229,1,2,0.0
0.949206349206349,ours,amlnet,graphsage_lite,6.782880771970058e-08,945,,1,0.0,0.0,0.0,2.161030207988391,1,0,0.0
0.949206349206349,ours,amlnet,graphsage_lite,7.113717276546309e-08,945,,1,0.0,0.0,0.0,2.071644706471208,1,1,0.0
0.949206349206349,ours,amlnet,graphsage_lite,7.546205556244527e-08,945,,1,0.0,0.0,0.0,2.064777922256317,1,2,0.0
